ID,comment
301,နောက်ပိုင်း ကီးထပ်မြင့်သွားရင်တော့ တော်တော်လေးမိုက်မယ်ထင်တယ် အော်တဲ့ အပိုင်းဖြစ်ဖြစ် အရမ်းကောင်းမယ်လို့ထင်တယ် အရမ်းတတ်လို့ ပြောတာတော့မဟုပါဘူး
302,ဒီနေ့နဲ့ဆို ကို တို့ ဝေးသွားတာ ၆နှစ် နဲ့ ၁၁ လ ၁၈ ရက် ပြည့်တဲ့ နေ့လေးပေါ့ မိန်းခလေးရယ်အရမ်းသတိရတယ်  ရေ
303,သိပ်ချစ်ရတဲ့အမျိုးသမီးလေးရှိပါတယ် မလို့ခေါ်ပါတယ် ကျွန်တော့်ရဲ့ရင်နင့်သည်းချာလေးပေါ့ဗျာ သိပ်ချစ်ရတယ် အခုလို အေးနေတဲ့ အချိန်ဆို သူများတွေ ထက် နှစ်ဆ ပိုအေးတက်တဲ့ ကျွန်တော့် ရင်နင့်သည်းချာလေးကို အရမ်းစိတ်ပူတယ် သိပ်ချစ်တယ် တသက်တာ  သူ့ တယောက်တည်းကိုပဲ ချစ်နေမှာပါ 🤍
304,😢
305,ဆောင်းရာသီဟာ ဒီသီချင်းနဲ့ဆို ပိုပြည့်စုံသွားပြီ
306,ဘယ်သူကိုယ်လွမ်းလို့လွမ်းရမှန်မသိတော့ဘူးဗျာ။😢
307,ဆောင်းတောင်ပြန်ရောက်တော့မယ်
308,ကျနော်တို့ကံကြမ္မာကရက်စက်လွန်းပါတယ်ဗျာ
309,ဆောင်းဝင်တိုင်းနားထောင်နေတုန်း🥹
310,ငါလေငါ ငါ့ကောင်လေးကိုလွမ်းတယ် အဆက်သွယ်မရတာ ၃လရှိခဲ့ပြီဘာမဟုတ်တာလေးဆိုပေမယ့်ငါတွက်တော့ ၃နှစ်နဲ့တူတယ် ငါလေငါစောင့်နေတုန်း ၃လပြည့်ခါနီး ငါတို့ အန်နီပီးနောက်တရက်သယငါ့ဆီစာလာတယ် ဟာလေ လက်တေတောင်တုန်တယ် အရမ်းလွမ်းနေခဲ့တာတယ့်သူလည်း ငါလည်းလွမ်းနေတယ် လိုင်းရတယ့်ထိငါစောင့်နေမှာ အဆက်သွယ် ညပိုင်းကိုအပျက်ပျက်လေးတော့ရတယ် ငါလေအခုလိုမရခဲ့ရင်တောင်ငါစောင့်နေမှာသူ့ကို ငါသိစေချင်တယ် ကိုကိုငါလေနင့်အပြင်ဘယ်ကောင်မှစိတ်မဝင်စားဖူးဆိုတာ ကိုကိုဂရုစိုက်ပါ လိုင်းရတယ့်ချိန်အဝပြောကြတာပေါ့ သိပ်ချစ်တယ်ကိုကို 🖤
311,ကိုယ်ချစ်ရတဲ့ရဲလင်းလေးနဲ့ အတူရှိခဲ့တဲ့ နေရာနဲ့ တူနေတယ်
312,ရှုတင်နေရာက ဘယ်မှာလဲဟင်
313,ဒီကောင်ကိုေမ့ထားပီးေတာ့နောက်တစ်ယောက်နဲ့ပျော်ရွှင်ပီးအဆင်ပြေပြေနေနိုင်ကြပါစေကွယ်🤕🥀
314,လွမ်းတယ်😢
315,လွမ်းတယ်
316,😢
317,ကျွန်တော့် က သီချင်းလေးကိုရှဲ ထားပီး လေးရေးထားပါတယ် ဆောင်းတောင်တဖန်ပြန်ရောက်လာပီ မင်းရဲ့အနွေးဓာတ်လေးကိုပြန်လွမ်းမိပါတယ် တဲ့လေ😢
318,ဒီနေ့မင်းမွေးနေ့လေ ကိုယ်ခုထိသတိရနေဆဲပဲ လွမ်းမိတယ် ဒီသီချင်းကြားရင်😢
319,😔😞သတိရတယ် သူကိုချစ်အိဖြိူး 😔😞😭😭😭💔💔💔💔💔😔😭
320,ဒီနေ့ ည ပိုပီးသတိရနေတယ်
321,ဆောင်း၀င်တော့မယ်အချစ်ရေး ဒီဆောင်းရာသီရောက်ရင် ခံစားချက်ကကောင်းမနေဘူး အမှတ်တရများလွန်းလို့😌
322,🎉
323,ပြန်တွေ့ နေရတာတောင်ပြန်မဖြစ်နိုင်တော့တဲ့ အခြေနေ
324,နားထောင်မိတိုင်း သတိရလိုက်တာဗျာ
325,သတိရတယ်ကွယ် နားထောင်မိတိုင်းလားရှိုးမြို့ကိုသတိရတယ် ရင်ထဲနစ်နေအောင်ခံစားရတယ် အမှတ်တရတွေကိုလဲသတိရတယ်
326,လွမ်းလိုက်တာ 😊
327,အရမ်းကြိုက်
328,သူထွက်သွာတာ နှစ် နဲ့ လရှိပါပြီ 😞
329,သူ မချစ်နိုင်တော့ဘူးဆိုလို့သာနောက်ဆုတ်ပေးခဲ့တာ ကိုဘယ်မေ့နိုင်မှာလည်း
330,ဒီသီချင်းကြားရင်လွမ်းချင်လာသလိုပဲ လွမ်းစရာမရှိ ကြံဖန်လွမ်းတော့ ချမ်းကိုရဲ့အဝါရောင်စိုက်ခင်းဆိုတဲ့ ဝတ်ထုကိုပဲ သွားသတိရ
331,ဒီသီချင်း က သီချင်းတစ်ပုဒ်ဆိုတာထက်  ကပိုများနေတယ်ဗျာ💔😓
332,လွမ်းတယ်ဟာ
